track_id,similar_track_id,score
5SuOikwiRyPMVoIQDJUgSV,6hDBkm6B8HF9B4oATW28YN,0.8917310786469408
5SuOikwiRyPMVoIQDJUgSV,3IORLAm07yxo4T7B8cRET3,0.8896567991561547
5SuOikwiRyPMVoIQDJUgSV,7cP99Dd9VNjDpr4yYIRGK9,0.8746576088100002
5SuOikwiRyPMVoIQDJUgSV,6hxdEJHw5qPaA4r0GFGkhj,0.8397986623096313
5SuOikwiRyPMVoIQDJUgSV,1a08XzvFiWYAgn5xZswA8o,0.8189869067914762
4qPNDBW1i3p13qLCt0Ki3A,7io1erAh1tMxG5VMBC8rVw,0.949889868185373
4qPNDBW1i3p13qLCt0Ki3A,6Xbi3gOwMal0Ds3ETvBBwe,0.947150640529017
4qPNDBW1i3p13qLCt0Ki3A,6f9qzNP6elRi8i2NgqGoE5,0.9423131178354235
4qPNDBW1i3p13qLCt0Ki3A,2GwShNdcJHDLEkGO4L34lF,0.9408761610797267
4qPNDBW1i3p13qLCt0Ki3A,012NJSdURT6pzuzl1cSUG6,0.9380890606053913
1iJBSr7s7jYXzM8EGcbK5b,3r1cfu7qDpEP3A80TGDzsH,0.9261047775614482
1iJBSr7s7jYXzM8EGcbK5b,2D4BSm5Z8Hq5zYbSgJwEOh,0.9139316011544277
1iJBSr7s7jYXzM8EGcbK5b,3Zm6QMBYCwNZFUOmVBoVhA,0.9008826661810524
1iJBSr7s7jYXzM8EGcbK5b,2VWDk6GcnMaysTpVQH121M,0.900719487529991
1iJBSr7s7jYXzM8EGcbK5b,4JJOLKyNrVeJhyDZt0MOSj,0.8946014267546412
6lfxq3CG4xtTiEg7opyCyx,24UxG3p1Ghtc5ejJtGBoeL,0.9858963362569418
6lfxq3CG4xtTiEg7opyCyx,4oa14QBfWRDfJy2agySy0L,0.9604833934060315
6lfxq3CG4xtTiEg7opyCyx,6h061f44HZPj1OXO2nA45d,0.9603224447013503
6lfxq3CG4xtTiEg7opyCyx,0xbMRcMFqxJq1Wa7tvWPtn,0.9603224447013503
6lfxq3CG4xtTiEg7opyCyx,3H36x7buZdQD4687VmFrwY,0.9603224447013503
5vjLSffimiIP26QG5WcN2K,7qHPp1beQupJUzwRyVtoyy,0.9995701347948264
5vjLSffimiIP26QG5WcN2K,2gRKq9rIC5i1zuxp06zJWH,0.8827993789963559
5vjLSffimiIP26QG5WcN2K,2Jhx81CSHw8xWwBqRM2mZR,0.8535081345543097
5vjLSffimiIP26QG5WcN2K,5xQTEPjGsLuvwnnvyK3fAA,0.8533878649233344
5vjLSffimiIP26QG5WcN2K,6mwHS78L18Da6HRO4HNo0i,0.8483503621495239
01MVOl9KtVTNfFiBU9I7dc,2QWJw0nexdBa85pXuEZGsv,0.842111303823823
01MVOl9KtVTNfFiBU9I7dc,0uln709ghU7gvFT38aIOqq,0.8343011618601307
01MVOl9KtVTNfFiBU9I7dc,4ZlesHyYfr8PQPUs0SnWDE,0.8341756500171844
